,State,Country,Region,sarimaI_CC,sarimaI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LGBMI_CC,LGBMI_F,PROPHET_CC,PROPHET_F
13447,Reunion,France,"Reunion, France",1.3053782576529753,,4.67316585937216,,8.455328879122114,,1.9105453856712689,,10.75570268420862,
13560,Saint Barthelemy,France,"Saint Barthelemy, France",0.0,,7.5396825396825395,,0.0,,0.0,,0.0,
13673,Saint Pierre and Miquelon,France,"Saint Pierre and Miquelon, France",0.0,,0.0,,0.0,,0.0,,58.97435897435898,
13786,St Martin,France,"St Martin, France",2.125679757258704,15.873015873015866,13.661014976804452,14.285714285714283,21.212117264748848,6.349206349206349,1.6756635177687809,15.873015873015866,19.799717762593698,3.968253968253968
13899,,France,France,3.412321858466677,1.2536980123475805,17.572309880119988,6.810988361199861,12.491463021137033,4.376309741455163,4.730466157750237,10.448892662902184,23.403083120676293,16.506807811985468
14012,,Gabon,Gabon,28.896595737164805,38.333333333333336,19.324548204845332,38.333333333333336,6.369747261828369,16.256613756613756,34.43426255103114,38.333333333333336,34.221176168578445,38.333333333333336
14125,,Gambia,Gambia,14.088024318203344,0.0,10.829289115734127,0.0,42.327983894480056,104.76190476190477,14.088024318203344,0.0,17.751494976558917,0.0
14238,,Georgia,Georgia,2.001484438927521,18.13158369408369,7.266147335928272,10.86598124098124,11.321797424004904,5.694895382395382,14.745782762790316,24.705266955266953,4.203716545978077,inf
14351,,Germany,Germany,0.2523084829044906,9.124543188401049,1.9003659114769988,3.9077079559309404,6.651912010794507,7.2245863898351175,6.105018395426236,16.78756924762899,12.047490073942546,5.676712809125525
14464,,Ghana,Ghana,18.017169273969888,18.646690999632174,10.381828692610398,12.692046515575925,2086.231257430111,3779.6796572164217,26.66793656419636,21.11535523300229,28.59803430530055,14.386070084599496
14577,,Greece,Greece,6.924488135456433,1.4386103601260354,5.607463796929048,2.642466504942407,4.936139285113509,8.077580584805313,7.681483379528295,10.641600226471223,8.434371149087596,8.526335228462656
14690,,Grenada,Grenada,14.356725146198826,,5.472311731710227,,14.356725146198826,,14.356725146198826,,6.567708954926997,
14803,,Guatemala,Guatemala,17.05239709638548,30.4305358832478,13.592350920639609,18.037922614902836,76.25525238892727,89.41365680323781,31.782246351981687,30.4305358832478,26.811055265538226,22.024015641243544
14916,,Guinea,Guinea,14.452956197091599,60.57222471015573,11.432996209337649,108.87495646116336,4.833595018512721,41.57834502662088,31.571472451544846,29.805443598547033,28.385646080007653,inf
15029,,Guinea-Bissau,Guinea-Bissau,32.1132841449677,100.0,30.986595242161876,100.0,23.0437954268146,100.0,32.94909287664567,100.0,36.10231790307433,100.0
15142,,Guyana,Guyana,12.234193643015336,10.264550264550262,6.376825443913275,3.675359032501891,31.40998444628743,35.91742252456538,12.234193643015336,10.264550264550262,10.327036633471605,7.431972789115647
15255,,Haiti,Haiti,18.26342974448004,35.45454545454546,17.755738040654396,37.995337995338005,17.554396394846545,27.897889147889142,27.659031926876352,35.45454545454546,16.850888055182097,19.45091945091945
15368,,Holy See,Holy See,13.314093314093311,,4.967532467532468,,13.314093314093311,,13.314093314093311,,5.114838864838867,
15481,,Honduras,Honduras,19.51685152454645,14.426979706195176,18.246977851844797,4.926923443673145,10.80271554334025,2.699273708485542,26.13231762353681,20.581600165867762,18.068573565573327,16.424936688392894
